cbsatitle,metropolitanmicropolitanstatis,metropolitandivisiontitle,countycountyequivalent,statename,fipscountycode
"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,Anoka County,Minnesota,3
"Bemidji, MN",Micropolitan Statistical Area,,Beltrami County,Minnesota,7
"St. Cloud, MN",Metropolitan Statistical Area,,Benton County,Minnesota,9
"Mankato-North Mankato, MN",Metropolitan Statistical Area,,Blue Earth County,Minnesota,13
"New Ulm, MN",Micropolitan Statistical Area,,Brown County,Minnesota,15
"Duluth, MN-WI",Metropolitan Statistical Area,,Carlton County,Minnesota,17
"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,Carver County,Minnesota,19
"Brainerd, MN",Micropolitan Statistical Area,,Cass County,Minnesota,21
"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,Chisago County,Minnesota,25
"Fargo, ND-MN",Metropolitan Statistical Area,,Clay County,Minnesota,27
"Brainerd, MN",Micropolitan Statistical Area,,Crow Wing County,Minnesota,35
"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,Dakota County,Minnesota,37
"Rochester, MN",Metropolitan Statistical Area,,Dodge County,Minnesota,39
"Alexandria, MN",Micropolitan Statistical Area,,Douglas County,Minnesota,41
"Rochester, MN",Metropolitan Statistical Area,,Fillmore County,Minnesota,45
"Albert Lea, MN",Micropolitan Statistical Area,,Freeborn County,Minnesota,47
"Red Wing, MN",Micropolitan Statistical Area,,Goodhue County,Minnesota,49
"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,Hennepin County,Minnesota,53
"La Crosse-Onalaska, WI-MN",Metropolitan Statistical Area,,Houston County,Minnesota,55
"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,Isanti County,Minnesota,59
"Willmar, MN",Micropolitan Statistical Area,,Kandiyohi County,Minnesota,67
"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,Le Sueur County,Minnesota,79
"Marshall, MN",Micropolitan Statistical Area,,Lyon County,Minnesota,83
"Hutchinson, MN",Micropolitan Statistical Area,,McLeod County,Minnesota,85
"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,Mille Lacs County,Minnesota,95
"Austin, MN",Micropolitan Statistical Area,,Mower County,Minnesota,99
"Mankato-North Mankato, MN",Metropolitan Statistical Area,,Nicollet County,Minnesota,103
"Worthington, MN",Micropolitan Statistical Area,,Nobles County,Minnesota,105
"Rochester, MN",Metropolitan Statistical Area,,Olmsted County,Minnesota,109
"Fergus Falls, MN",Micropolitan Statistical Area,,Otter Tail County,Minnesota,111
"Grand Forks, ND-MN",Metropolitan Statistical Area,,Polk County,Minnesota,119
"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,Ramsey County,Minnesota,123
"Faribault-Northfield, MN",Micropolitan Statistical Area,,Rice County,Minnesota,131
"Duluth, MN-WI",Metropolitan Statistical Area,,St. Louis County,Minnesota,137
"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,Scott County,Minnesota,139
"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,Sherburne County,Minnesota,141
"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,Sibley County,Minnesota,143
"St. Cloud, MN",Metropolitan Statistical Area,,Stearns County,Minnesota,145
"Owatonna, MN",Micropolitan Statistical Area,,Steele County,Minnesota,147
"Rochester, MN",Metropolitan Statistical Area,,Wabasha County,Minnesota,157
"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,Washington County,Minnesota,163
"Wahpeton, ND-MN",Micropolitan Statistical Area,,Wilkin County,Minnesota,167
"Winona, MN",Micropolitan Statistical Area,,Winona County,Minnesota,169
"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,Wright County,Minnesota,171
